1.46134012986E+12,-296,-840,-416,316
1.4613401299E+12,-296,-856,-408,316
1.46134012994E+12,-272,-872,-400,316
1.46134013E+12,-256,-880,-408,320,one
1.46134013004E+12,-216,-888,-392,320
1.46134013008E+12,-208,-888,-408,320
1.46134013012E+12,-184,-888,-408,320
1.46134013016E+12,-208,-880,-392,320
1.4613401302E+12,-232,-880,-400,324
1.46134013024E+12,-280,-864,-392,324
1.46134013027E+12,-360,-832,-344,324
1.46134013031E+12,-416,-840,-272,324
1.46134013035E+12,-432,-856,-320,324
1.46134013039E+12,-448,-840,-312,326
1.46134013043E+12,-464,-848,-328,326
1.46134013047E+12,-400,-872,-360,326
1.46134013051E+12,-312,-888,-424,326
1.46134013055E+12,-216,-888,-512,326
1.46134013059E+12,-88,-864,-504,332
1.46134013062E+12,-16,-872,-544,332
1.46134013066E+12,24,-872,-520,332
1.4613401307E+12,72,-888,-520,332
1.46134013074E+12,104,-896,-496,332
1.46134013078E+12,120,-888,-456,334
1.46134013082E+12,136,-888,-464,334
1.46134013086E+12,144,-888,-464,334
1.4613401309E+12,160,-896,-416,334
1.46134013094E+12,128,-896,-384,330
1.461340131E+12,104,-920,-320,330,one
1.46134013104E+12,80,-920,-296,330
1.46134013108E+12,48,-936,-320,330
1.46134013112E+12,24,-936,-336,330
1.46134013116E+12,32,-936,-320,326
1.4613401312E+12,16,-928,-304,326
1.46134013123E+12,0,-928,-288,326
1.46134013127E+12,-8,-920,-312,326
1.46134013132E+12,-32,-920,-352,326
1.46134013135E+12,-40,-936,-328,322
1.46134013139E+12,-32,-944,-304,322
1.46134013143E+12,-40,-952,-296,322
1.46134013147E+12,-40,-944,-312,322
1.46134013151E+12,-24,-944,-280,322
1.46134013155E+12,-32,-944,-304,320
1.46134013159E+12,-40,-936,-272,320
1.46134013162E+12,-24,-928,-272,320
1.46134013166E+12,-24,-936,-280,320
1.4613401317E+12,-32,-936,-272,320
1.46134013174E+12,-32,-944,-272,318
1.46134013178E+12,-24,-936,-280,318
1.46134013182E+12,-40,-944,-288,318
1.46134013186E+12,-32,-936,-280,318
1.4613401319E+12,-40,-936,-272,318
1.46134013194E+12,-32,-944,-256,318
1.461340132E+12,0,0,0,0,one
